,AS-RCEC.TaiESM1.gn_r1i1p1f1,CSIRO-ARCCSS.ACCESS-CM2.gn_r1i1p1f1,CSIRO-ARCCSS.ACCESS-CM2.gn_r2i1p1f1,CSIRO-ARCCSS.ACCESS-CM2.gn_r3i1p1f1,CSIRO-ARCCSS.ACCESS-CM2.gn_r4i1p1f1,CSIRO-ARCCSS.ACCESS-CM2.gn_r5i1p1f1,NASA-GISS.GISS-E2-1-H.gn_r1i1p3f1,NASA-GISS.GISS-E2-1-H.gn_r2i1p3f1,NASA-GISS.GISS-E2-1-H.gn_r3i1p3f1,NASA-GISS.GISS-E2-1-H.gn_r4i1p3f1,NASA-GISS.GISS-E2-1-H.gn_r5i1p3f1,NIMS-KMA.KACE-1-0-G.gr_r1i1p1f1,NIMS-KMA.KACE-1-0-G.gr_r2i1p1f1,NIMS-KMA.KACE-1-0-G.gr_r3i1p1f1,FIO-QLNM.FIO-ESM-2-0.gn_r1i1p1f1,FIO-QLNM.FIO-ESM-2-0.gn_r2i1p1f1,FIO-QLNM.FIO-ESM-2-0.gn_r3i1p1f1,THU.CIESM.gr_r1i1p1f1,NCC.NorESM2-MM.gn_r1i1p1f1,NCC.NorESM2-MM.gn_r2i1p1f1,EC-Earth-Consortium.EC-Earth3-Veg-LR.gr_r1i1p1f1,EC-Earth-Consortium.EC-Earth3-Veg-LR.gr_r2i1p1f1,EC-Earth-Consortium.EC-Earth3-Veg-LR.gr_r3i1p1f1,EC-Earth-Consortium.EC-Earth3-CC.gr_r1i1p1f1,INM.INM-CM5-0.gr1_r1i1p1f1,CCCma.CanESM5.gn_r10i1p1f1,CCCma.CanESM5.gn_r10i1p2f1,CCCma.CanESM5.gn_r11i1p1f1,CCCma.CanESM5.gn_r11i1p2f1,CCCma.CanESM5.gn_r12i1p1f1,CCCma.CanESM5.gn_r12i1p2f1,CCCma.CanESM5.gn_r13i1p1f1,CCCma.CanESM5.gn_r13i1p2f1,CCCma.CanESM5.gn_r14i1p1f1,CCCma.CanESM5.gn_r14i1p2f1,CCCma.CanESM5.gn_r15i1p1f1,CCCma.CanESM5.gn_r15i1p2f1,CCCma.CanESM5.gn_r16i1p1f1,CCCma.CanESM5.gn_r16i1p2f1,CCCma.CanESM5.gn_r17i1p1f1,CCCma.CanESM5.gn_r17i1p2f1,CCCma.CanESM5.gn_r18i1p1f1,CCCma.CanESM5.gn_r18i1p2f1,CCCma.CanESM5.gn_r19i1p1f1,CCCma.CanESM5.gn_r19i1p2f1,CCCma.CanESM5.gn_r1i1p1f1,CCCma.CanESM5.gn_r1i1p2f1,CCCma.CanESM5.gn_r20i1p1f1,CCCma.CanESM5.gn_r20i1p2f1,CCCma.CanESM5.gn_r21i1p1f1,CCCma.CanESM5.gn_r21i1p2f1,CCCma.CanESM5.gn_r22i1p1f1,CCCma.CanESM5.gn_r22i1p2f1,CCCma.CanESM5.gn_r23i1p1f1,CCCma.CanESM5.gn_r23i1p2f1,CCCma.CanESM5.gn_r24i1p1f1,CCCma.CanESM5.gn_r24i1p2f1,CCCma.CanESM5.gn_r25i1p1f1,CCCma.CanESM5.gn_r25i1p2f1,CCCma.CanESM5.gn_r2i1p1f1,CCCma.CanESM5.gn_r2i1p2f1,CCCma.CanESM5.gn_r3i1p1f1,CCCma.CanESM5.gn_r3i1p2f1,CCCma.CanESM5.gn_r4i1p1f1,CCCma.CanESM5.gn_r4i1p2f1,CCCma.CanESM5.gn_r5i1p1f1,CCCma.CanESM5.gn_r5i1p2f1,CCCma.CanESM5.gn_r6i1p1f1,CCCma.CanESM5.gn_r6i1p2f1,CCCma.CanESM5.gn_r7i1p1f1,CCCma.CanESM5.gn_r7i1p2f1,CCCma.CanESM5.gn_r8i1p1f1,CCCma.CanESM5.gn_r8i1p2f1,CCCma.CanESM5.gn_r9i1p1f1,CCCma.CanESM5.gn_r9i1p2f1,NOAA-GFDL.GFDL-CM4.gr1_r1i1p1f1,IPSL.IPSL-CM6A-LR.gr_r10i1p1f1,IPSL.IPSL-CM6A-LR.gr_r11i1p1f1,IPSL.IPSL-CM6A-LR.gr_r14i1p1f1,IPSL.IPSL-CM6A-LR.gr_r1i1p1f1,IPSL.IPSL-CM6A-LR.gr_r22i1p1f1,IPSL.IPSL-CM6A-LR.gr_r25i1p1f1,IPSL.IPSL-CM6A-LR.gr_r2i1p1f1,IPSL.IPSL-CM6A-LR.gr_r3i1p1f1,IPSL.IPSL-CM6A-LR.gr_r4i1p1f1,IPSL.IPSL-CM6A-LR.gr_r5i1p1f1,IPSL.IPSL-CM6A-LR.gr_r6i1p1f1,NOAA-GFDL.GFDL-ESM4.gr1_r1i1p1f1,NOAA-GFDL.GFDL-ESM4.gr1_r2i1p1f1,NOAA-GFDL.GFDL-ESM4.gr1_r3i1p1f1,NUIST.NESM3.gn_r1i1p1f1,NUIST.NESM3.gn_r2i1p1f1,NCAR.CESM2-WACCM.gn_r1i1p1f1,NCAR.CESM2-WACCM.gn_r2i1p1f1,NCAR.CESM2-WACCM.gn_r3i1p1f1,INM.INM-CM4-8.gr1_r1i1p1f1,CMCC.CMCC-ESM2.gn_r1i1p1f1,BCC.BCC-CSM2-MR.gn_r1i1p1f1,CSIRO.ACCESS-ESM1-5.gn_r31i1p1f1,CSIRO.ACCESS-ESM1-5.gn_r32i1p1f1,CSIRO.ACCESS-ESM1-5.gn_r33i1p1f1,CSIRO.ACCESS-ESM1-5.gn_r34i1p1f1,CSIRO.ACCESS-ESM1-5.gn_r35i1p1f1,CSIRO.ACCESS-ESM1-5.gn_r36i1p1f1,CSIRO.ACCESS-ESM1-5.gn_r37i1p1f1,CSIRO.ACCESS-ESM1-5.gn_r38i1p1f1,CSIRO.ACCESS-ESM1-5.gn_r39i1p1f1,CSIRO.ACCESS-ESM1-5.gn_r40i1p1f1,NASA-GISS.GISS-E2-1-G.gn_r1i1p3f1,NASA-GISS.GISS-E2-1-G.gn_r1i1p5f1,NASA-GISS.GISS-E2-1-G.gn_r2i1p3f1,NASA-GISS.GISS-E2-1-G.gn_r2i1p5f1,NASA-GISS.GISS-E2-1-G.gn_r3i1p3f1,NASA-GISS.GISS-E2-1-G.gn_r3i1p5f1,NASA-GISS.GISS-E2-1-G.gn_r4i1p3f1,NASA-GISS.GISS-E2-1-G.gn_r4i1p5f1,NASA-GISS.GISS-E2-1-G.gn_r5i1p3f1,CCCma.CanESM5-CanOE.gn_r1i1p2f1,CCCma.CanESM5-CanOE.gn_r2i1p2f1,CCCma.CanESM5-CanOE.gn_r3i1p2f1,CMCC.CMCC-CM2-SR5.gn_r1i1p1f1,KIOST.KIOST-ESM.gr1_r1i1p1f1,CAS.FGOALS-f3-L.gr_r1i1p1f1,MRI.MRI-ESM2-0.gn_r1i1p1f1,MRI.MRI-ESM2-0.gn_r2i1p1f1,MRI.MRI-ESM2-0.gn_r3i1p1f1,MRI.MRI-ESM2-0.gn_r4i1p1f1,MRI.MRI-ESM2-0.gn_r5i1p1f1,CAS.CAS-ESM2-0.gn_r1i1p1f1,CAS.CAS-ESM2-0.gn_r3i1p1f1,MIROC.MIROC6.gn_r10i1p1f1,MIROC.MIROC6.gn_r11i1p1f1,MIROC.MIROC6.gn_r12i1p1f1,MIROC.MIROC6.gn_r13i1p1f1,MIROC.MIROC6.gn_r14i1p1f1,MIROC.MIROC6.gn_r15i1p1f1,MIROC.MIROC6.gn_r16i1p1f1,MIROC.MIROC6.gn_r17i1p1f1,MIROC.MIROC6.gn_r18i1p1f1,MIROC.MIROC6.gn_r19i1p1f1,MIROC.MIROC6.gn_r1i1p1f1,MIROC.MIROC6.gn_r20i1p1f1,MIROC.MIROC6.gn_r21i1p1f1,MIROC.MIROC6.gn_r22i1p1f1,MIROC.MIROC6.gn_r23i1p1f1,MIROC.MIROC6.gn_r24i1p1f1,MIROC.MIROC6.gn_r25i1p1f1,MIROC.MIROC6.gn_r26i1p1f1,MIROC.MIROC6.gn_r27i1p1f1,MIROC.MIROC6.gn_r28i1p1f1,MIROC.MIROC6.gn_r29i1p1f1,MIROC.MIROC6.gn_r2i1p1f1,MIROC.MIROC6.gn_r30i1p1f1,MIROC.MIROC6.gn_r31i1p1f1,MIROC.MIROC6.gn_r32i1p1f1,MIROC.MIROC6.gn_r33i1p1f1,MIROC.MIROC6.gn_r34i1p1f1,MIROC.MIROC6.gn_r35i1p1f1,MIROC.MIROC6.gn_r36i1p1f1,MIROC.MIROC6.gn_r37i1p1f1,MIROC.MIROC6.gn_r38i1p1f1,MIROC.MIROC6.gn_r39i1p1f1,MIROC.MIROC6.gn_r3i1p1f1,MIROC.MIROC6.gn_r40i1p1f1,MIROC.MIROC6.gn_r41i1p1f1,MIROC.MIROC6.gn_r42i1p1f1,MIROC.MIROC6.gn_r43i1p1f1,MIROC.MIROC6.gn_r44i1p1f1,MIROC.MIROC6.gn_r45i1p1f1,MIROC.MIROC6.gn_r46i1p1f1,MIROC.MIROC6.gn_r47i1p1f1,MIROC.MIROC6.gn_r48i1p1f1,MIROC.MIROC6.gn_r49i1p1f1,MIROC.MIROC6.gn_r4i1p1f1,MIROC.MIROC6.gn_r50i1p1f1,MIROC.MIROC6.gn_r5i1p1f1,MIROC.MIROC6.gn_r6i1p1f1,MIROC.MIROC6.gn_r7i1p1f1,MIROC.MIROC6.gn_r8i1p1f1,MIROC.MIROC6.gn_r9i1p1f1,NCAR.CESM2.gn_r10i1p1f1,NCAR.CESM2.gn_r11i1p1f1,NCAR.CESM2.gn_r4i1p1f1
1850,276.77502,277.62463,277.5383,277.3809,277.5955,277.74408,278.2644,278.19327,278.08667,278.1715,278.41412,277.2208,277.37375,277.30444,276.67276,276.30966,276.58987,278.14764,277.6097,277.54428,277.6749,277.71155,277.5679,278.73578,277.12653,277.16385,277.39908,277.49182,276.85452,277.30017,277.11093,277.0649,277.06793,277.0072,277.37088,277.44592,276.99585,276.8652,277.04343,277.30075,277.15787,277.12308,277.17825,277.2416,277.295,277.6255,277.3758,277.17377,277.07654,276.94315,277.0366,277.23355,277.3281,276.94772,277.01102,277.08002,277.07327,277.3475,276.9274,277.2892,276.94998,277.23492,277.19852,277.3759,277.16507,277.4091,277.32645,277.3174,277.5783,277.5719,277.26102,277.41797,277.32285,277.42758,277.42874,276.68994,275.89655,276.2912,276.37048,276.20688,276.35718,276.1547,276.3941,276.0842,276.09396,276.0975,276.26828,277.2287,276.97452,277.30704,277.41656,277.57004,277.2611,277.37344,277.04114,277.2618,277.92224,278.3201,278.03607,278.1998,278.24106,278.23105,277.9427,278.175,278.19937,278.39963,278.2749,278.059,278.1975,277.73297,277.64035,277.6687,277.72348,277.8546,277.57886,277.73276,278.26785,277.3758,276.94998,277.19852,277.89572,277.19492,276.35095,277.81738,277.79056,277.902,278.03128,278.06583,277.98096,277.9593,279.70242,279.99097,279.85748,279.7607,279.79703,279.92886,279.73172,279.62527,279.8215,279.9236,279.85437,279.99274,279.75113,279.86972,279.64856,280.06198,279.98117,279.9886,279.56946,279.77814,279.70547,279.9474,279.6525,279.88272,279.7929,280.09882,279.78503,279.76224,279.91675,279.8914,279.69235,279.50272,279.60962,279.76038,279.84238,279.9826,280.0846,279.7254,279.99216,279.88013,279.88284,279.5917,279.90283,280.15683,279.7231,279.848,279.72754,279.40002,279.9269,279.7838,277.3512,277.61426,277.3322
1851,277.08896,277.63705,277.5239,277.4293,277.6586,277.58167,278.2478,278.43906,277.9291,278.27188,278.28656,277.21463,277.39417,277.12885,276.7789,276.26517,276.6599,278.16452,277.78232,277.15866,277.50775,277.84476,277.5945,278.9522,277.1105,277.20923,277.33447,277.79565,276.7462,277.40695,277.16318,277.1608,276.98398,277.18985,277.2502,277.4853,277.0922,277.06326,277.07562,277.24353,277.16748,277.07053,277.21335,277.4543,277.33228,277.4521,277.21115,277.06323,277.13852,277.19672,277.1724,277.36667,277.26627,277.16684,277.27625,277.12863,276.9724,277.5305,277.0768,277.37497,277.20645,277.43655,277.16782,277.43933,277.00284,277.38968,277.2277,277.517,277.34912,277.6452,277.15866,277.52286,277.19327,277.48306,277.3796,276.7739,276.1644,276.37985,276.35037,276.3382,276.34232,276.13782,276.7468,276.04868,276.25565,275.91074,276.49387,277.03543,277.24393,277.2159,277.5925,277.57773,277.05676,277.3028,277.20145,277.15335,278.09393,278.27817,278.34314,278.13132,278.11636,278.19528,278.08435,278.30612,278.15097,278.3478,278.20316,278.16736,277.91074,277.66547,277.51904,277.81857,277.50266,277.76157,278.0518,277.9121,277.70316,277.21115,277.20645,277.16782,278.0683,276.9398,276.67697,277.99844,278.01614,277.78183,277.92224,277.88412,277.74094,277.93494,280.11026,279.50052,279.96136,279.82513,279.71365,279.827,279.81955,279.6461,279.95746,279.9938,279.74783,279.9091,279.8771,280.00732,279.9277,279.75595,279.9614,280.04947,279.6299,279.71274,279.79358,279.86108,280.08688,280.0668,279.92343,280.04605,279.85184,279.6933,280.1071,279.78928,279.66415,279.69507,279.67624,279.7488,279.90225,280.20746,279.82803,279.797,279.80487,279.924,279.81067,279.82297,279.99554,280.1475,279.85043,279.72043,279.8068,279.6505,279.80194,279.67322,277.45398,277.67792,277.32114
1852,277.08206,277.69095,277.1807,277.43964,277.5748,277.6144,278.17358,278.6114,278.24042,278.22256,278.23083,277.21542,277.23184,277.15683,276.76218,276.4985,276.54282,278.1497,277.52054,277.28903,277.34763,278.0446,277.76913,278.80286,277.1044,277.1597,277.4581,277.6406,276.75085,277.19247,277.22415,277.38535,277.09152,277.12607,277.11392,277.46255,277.16376,276.9799,276.83688,277.31512,277.12906,277.22556,277.23215,277.3499,277.26254,277.54404,277.25043,276.99756,277.3935,277.18454,277.07727,277.366,277.235,277.204,277.36398,277.1826,276.83182,277.3978,276.95462,277.48062,277.21323,277.47687,277.17993,277.29446,277.24307,277.50137,277.06027,277.38696,277.3122,277.67538,276.95007,277.41983,277.26166,277.409,277.4747,276.7972,276.2865,276.76883,276.30173,276.41296,276.32645,276.17856,276.86264,276.15698,276.2134,276.15952,276.38028,277.22977,277.26837,277.17184,277.57895,277.71326,277.26822,277.55084,277.35104,277.17197,278.0808,278.4159,278.28293,278.05667,278.0077,278.12613,278.26144,278.23398,278.32385,278.30304,278.04523,278.13757,277.66373,277.98108,277.57242,277.99265,277.45044,277.77994,277.64368,277.5627,277.42886,277.25043,277.21323,277.17993,278.02243,276.76126,276.67963,277.90384,278.05667,277.77982,278.02347,277.79984,277.50223,277.76965,280.07202,279.60904,279.9231,279.88254,279.908,279.78357,279.75906,279.94034,279.84866,280.107,279.7598,279.85904,280.01074,279.8726,279.9788,279.85562,279.9591,280.05344,279.6918,279.8599,279.7961,279.92603,279.9885,279.9893,280.04263,279.9503,279.82315,279.82352,280.0669,279.6245,279.91333,280.12247,279.74603,279.71664,279.88785,280.05942,279.8086,279.92798,279.8467,279.92917,279.86984,279.97998,280.13297,279.85947,280.1257,279.78207,279.6591,279.81085,279.77972,279.69116,277.3281,277.79507,277.50375
1853,276.97525,277.54517,277.55142,277.4291,277.59634,277.53,278.16446,278.33795,278.17996,278.4044,278.28024,277.2149,277.31152,277.17685,276.59488,276.4293,276.5905,278.02383,277.51135,277.33865,277.50363,278.0864,277.73434,278.80063,277.13226,277.30978,277.1501,277.66577,276.8587,277.26932,277.09354,277.16867,277.1335,277.3103,277.1279,277.5881,276.90027,277.0458,277.1055,277.43735,277.22153,277.23492,277.24692,277.42276,277.2253,277.6316,277.2663,277.09384,277.14066,277.03244,276.85007,277.3575,277.28458,277.4144,277.31583,277.5046,277.038,277.4648,277.19955,277.6514,277.3088,277.5436,277.15854,277.40952,277.25986,277.5891,277.33743,277.4658,277.5189,277.49387,276.99243,277.68362,277.29266,277.3932,277.12857,276.80258,276.20108,276.49713,276.31064,276.49863,276.3989,276.32495,276.49167,276.22885,276.41556,276.2383,276.30264,277.31705,277.3854,277.38675,277.30875,277.70493,276.96713,277.5482,277.3239,277.09897,278.03253,278.4608,278.18216,278.184,278.04037,278.17136,278.2831,278.34012,278.03293,278.42166,278.04214,277.93735,277.76993,277.9745,277.7897,277.52365,278.0701,277.6743,277.65317,277.5148,277.76035,277.2663,277.3088,277.15854,278.25034,276.77414,276.4139,277.70624,277.77194,277.88516,277.99002,277.8743,277.65952,277.7414,279.79703,279.6086,280.01266,279.90463,280.0724,279.82846,279.8203,279.9894,279.78802,280.12546,279.8679,280.10312,279.7899,279.97845,279.94156,279.8468,279.86206,280.03134,279.82895,279.8214,279.9398,279.88748,279.85892,279.71442,279.73685,280.09634,279.7302,280.02066,279.77725,279.59146,279.86554,280.00015,279.92136,279.83847,279.8814,279.9376,279.71805,280.05154,279.92465,280.24536,280.00125,279.77707,279.77386,279.69113,279.85138,279.76123,279.89615,279.6346,279.5936,279.83182,277.30136,277.67053,277.35748
1854,276.99573,277.52115,277.47702,277.5297,277.42633,277.7553,278.231,278.17712,277.99612,278.3056,278.36392,277.3386,277.16953,276.9844,276.68942,276.21115,276.67618,278.00095,277.79666,277.52646,277.56412,277.79037,277.56616,278.82227,277.1101,277.153,277.105,277.67868,277.20792,277.24155,277.35623,277.16666,277.18494,277.22043,277.26135,277.50122,277.04913,277.12112,277.191,277.5576,277.3187,277.3293,277.33066,277.32852,277.2594,277.4424,277.21826,277.2324,277.45877,277.07657,276.98343,277.23795,276.9376,277.30167,277.26993,277.4711,277.09332,277.3283,277.20413,277.70267,277.3562,277.5166,277.14493,277.43246,277.3892,277.51505,277.32388,277.37036,277.42105,277.5317,277.2052,277.5497,277.3986,277.26526,277.13098,276.944,276.18326,276.77988,276.29617,276.70886,276.3225,276.10477,276.48703,276.20645,276.44568,276.2327,276.20447,277.14398,277.15646,277.50342,277.45502,277.74173,277.03958,277.3962,277.01572,277.15118,278.03885,278.4557,278.07385,278.19153,278.1377,278.08273,278.13522,278.1517,277.95096,278.21887,278.07794,278.382,278.01144,277.6713,277.8492,277.68076,278.0319,277.58157,277.61462,277.84982,277.85275,277.21826,277.3562,277.14493,278.1812,276.51895,276.49475,277.71683,277.8424,277.92398,277.94815,277.83615,277.89664,277.6689,279.69156,279.75754,279.74103,279.93112,280.26712,280.1046,279.5908,279.7273,279.86865,279.96667,280.03845,279.9694,279.7339,280.0425,279.90408,279.8719,279.9855,279.90848,280.1582,279.91916,280.0371,279.8317,279.6761,279.60406,279.77396,280.0321,279.7434,279.9578,279.5678,279.88492,279.95212,279.74197,279.77713,279.67978,279.82547,280.10086,279.71353,279.76236,279.8655,280.178,280.08612,279.72507,279.76987,279.70493,279.66696,279.8864,279.80347,279.61667,279.66327,279.95047,277.2891,277.72797,277.38278
1855,276.9668,277.39706,277.56775,277.594,277.73105,277.83548,278.2787,278.04605,278.10873,278.31888,278.35495,277.17828,277.10373,277.13803,276.83237,276.30518,276.57587,277.95462,277.78024,277.6392,277.87497,277.74948,277.6118,278.77814,277.02176,277.24686,277.13278,277.39294,277.04074,277.48694,277.53442,277.32523,277.07297,277.09872,277.17294,277.39957,277.09634,277.17477,277.15793,277.19135,277.19263,277.15518,277.2618,277.39197,277.4251,277.42685,277.27286,277.3234,277.1903,277.2831,277.02844,277.47964,277.0635,277.3947,277.21127,277.57297,277.00067,277.28354,277.18994,277.73203,277.37894,277.55313,277.10574,277.4163,277.54312,277.53018,277.23657,277.51617,277.30637,277.48154,277.2834,277.40045,277.5449,277.47717,277.129,276.83188,276.51733,276.6395,276.41867,276.47256,276.29074,276.15732,276.62595,276.07248,276.43134,276.1506,276.49396,277.11795,277.23044,277.20554,277.34283,277.73557,277.30234,277.09152,277.14954,277.00452,278.21927,278.22562,278.03174,277.96234,278.137,278.13757,278.02618,277.88583,278.1721,278.21274,278.17282,278.1385,278.01697,277.61316,278.04605,278.04495,277.69467,277.66635,277.6632,277.96988,277.89557,277.27286,277.37894,277.10574,278.22348,276.7384,276.4436,277.8938,277.71896,277.97015,277.85342,277.78714,277.76028,278.0473,279.666,279.75287,279.69647,279.8873,279.9357,280.10165,279.91833,279.63754,279.96042,279.9351,280.1478,279.93558,279.87845,279.77606,279.9296,279.84732,280.06482,280.03683,280.04883,279.79788,279.95587,279.94333,279.7427,279.76038,279.81772,279.80942,279.82907,279.60336,279.6968,279.91653,280.0631,279.63864,279.80453,279.69174,279.7551,280.3246,279.99246,279.90698,279.822,279.7579,279.89798,279.95355,279.81152,279.85464,279.7534,279.84915,279.7569,279.84326,279.871,279.88718,277.37955,277.63998,277.54755
1856,277.29642,277.4293,277.5636,277.37253,277.486,277.4102,278.3705,278.15594,278.183,278.37085,278.13425,277.20074,277.10742,277.045,276.71448,276.40366,276.44516,278.13803,277.3359,277.45898,277.83817,277.65182,277.68185,278.8292,277.15488,277.3361,277.19247,277.34344,276.97696,277.45895,277.36215,277.3374,277.1815,277.05997,277.15717,277.5149,277.00317,277.31308,277.1609,277.09207,277.2121,277.2539,277.31595,277.42688,277.21826,277.38824,277.45212,277.40524,277.27698,277.5663,276.95963,277.3491,277.20203,277.36816,277.10556,277.54074,276.87915,277.2423,277.09366,277.69455,277.32645,277.4432,277.14493,277.36026,277.56113,277.4094,277.16223,277.19864,277.19604,277.67157,277.36502,277.58606,277.51126,277.5278,277.1868,276.6155,276.3174,276.74442,276.4618,276.71127,276.36337,276.0601,276.22513,276.27444,276.38608,275.9842,276.45404,277.3216,277.3246,277.21155,277.38608,277.7263,277.34158,277.14163,277.2284,277.12357,278.25986,278.3978,278.0325,277.98654,278.1966,278.15442,278.14816,278.01855,277.92822,278.15628,278.22278,278.129,277.7082,277.98663,277.73776,278.05426,277.49466,277.8439,277.4974,277.82196,277.69974,277.45212,277.32645,277.14493,278.29565,276.52713,276.35065,277.91852,278.03647,278.1346,277.90268,277.8903,277.68576,277.9852,279.96188,279.58615,279.69443,280.15814,279.82602,279.88553,279.75705,279.6958,279.86697,279.91486,279.70847,279.90054,280.14658,280.01535,279.98944,279.79355,279.98044,280.07083,280.06842,279.95053,279.76108,279.77994,280.02805,279.743,280.0984,279.89938,280.0151,279.52377,279.6597,279.99252,279.95123,279.86444,279.95746,279.71942,279.95486,279.88394,279.89706,279.7889,280.1556,279.68417,279.9364,279.88626,279.80713,279.8982,279.83347,279.88184,279.77548,279.8254,279.86093,279.9182,277.39566,277.4854,277.32965
1857,277.03137,277.50037,277.6066,277.59592,277.37973,277.65884,278.3329,278.74197,278.01447,278.35153,278.01572,277.28854,277.14795,277.22058,276.71353,276.62277,276.63553,278.2383,277.33157,277.17285,277.59134,277.84973,277.77542,278.8994,277.16043,277.41403,277.05933,277.35443,276.98096,277.5154,277.38663,277.24997,277.3199,277.17697,277.0543,277.3831,277.07184,277.33917,277.01196,277.12997,277.14322,277.3631,277.25668,277.43472,276.9518,277.42975,277.38074,277.17477,277.48157,277.29037,276.9852,277.46774,277.29654,277.1812,276.97458,277.48178,276.88565,277.40076,276.96802,277.45578,277.57425,277.4053,277.18893,277.46237,277.47784,277.4396,277.43356,277.28137,277.15372,277.75378,277.4559,277.5516,277.35764,277.34097,276.97995,276.69315,276.4909,276.7601,276.1476,276.56863,276.45126,276.07468,276.3773,276.42947,276.30417,276.11194,276.46884,277.47183,277.24545,277.3381,277.47223,277.67764,277.40256,277.07397,277.40866,277.16974,278.1234,278.6515,278.15848,278.0543,278.1945,278.24374,278.21936,277.926,278.01974,277.8795,278.15274,278.15195,277.88754,277.94373,277.72522,277.4971,278.02786,277.74628,277.97745,277.47192,277.60318,277.38074,277.57425,277.18893,278.3986,276.15848,276.41095,277.84637,277.58627,278.15808,277.93747,277.94498,277.84705,277.77573,280.15988,279.7632,279.67935,280.2132,279.79794,279.54788,279.75662,279.7145,280.13486,279.8444,279.79245,279.8026,279.93613,279.92346,279.89157,279.8079,279.91745,279.8936,279.95395,280.08484,279.95242,279.80603,279.98218,280.2012,279.97217,280.04495,279.93878,279.66507,279.7315,280.0092,279.9774,279.92053,280.1059,279.72754,279.9502,279.99313,279.57986,279.9719,280.02365,279.91776,279.93463,280.132,279.86533,279.8476,279.8745,279.9288,279.8175,279.72586,279.8462,279.6587,277.30444,277.13513,277.29056
1858,277.2637,277.36105,277.7839,277.55325,277.29404,277.85284,277.98697,278.465,278.0687,278.3754,278.0244,277.22552,277.2243,277.31638,276.6381,276.6656,276.6465,278.1514,277.2877,277.67712,277.8527,277.49326,277.52048,278.86444,277.10242,277.29697,277.06155,277.28043,276.91324,277.48254,277.2821,277.3988,277.10703,277.45764,277.12656,277.24393,277.04865,277.28946,277.18405,277.14786,277.12515,277.28836,277.26425,277.3024,276.8953,277.42493,277.15427,277.1807,277.4139,277.18253,277.00027,277.31113,277.10135,277.4804,277.0123,277.25174,277.04776,277.5305,277.0764,277.37488,277.54443,277.27536,277.2806,277.2811,277.4828,277.34512,277.23923,277.49286,277.37473,277.50424,277.37662,277.6396,277.3469,277.32474,277.0572,276.76532,276.39163,276.68918,276.2124,276.53824,276.49234,276.01065,276.38135,276.48398,276.39676,276.2274,276.67563,277.28104,277.1835,277.40753,277.50226,277.58395,277.12094,277.2569,277.28384,277.11346,278.08554,278.46274,278.08478,278.12454,278.11862,278.1893,278.08218,277.9381,278.18576,277.90747,278.2694,278.10583,277.99243,277.6061,277.66855,277.54324,278.02756,277.6411,277.7844,277.61722,277.9569,277.15427,277.54443,277.2806,278.33078,276.26334,276.2343,277.82535,277.80017,278.015,277.96036,277.92697,277.5743,277.84778,280.1252,279.80444,279.74167,279.79007,279.93152,279.71533,279.7835,279.83304,279.9045,280.06003,279.79404,279.86508,279.9637,279.7327,279.65744,280.01346,279.7896,279.7186,279.7891,279.8017,279.76416,279.90225,279.74478,280.109,279.81046,279.9072,280.0367,279.6785,279.8105,279.90057,279.80493,279.5466,279.92126,279.7842,280.0173,280.1013,279.60657,279.93826,280.04443,279.85532,279.83987,280.07822,280.0246,279.7362,280.02707,280.0372,279.62344,279.822,279.83673,279.70883,277.44064,277.4066,277.3146
1859,277.20792,277.449,277.63095,277.55893,277.51755,277.76904,277.86926,278.51242,278.04703,278.1606,278.257,277.332,277.19992,277.24088,276.61298,276.4314,276.58612,278.3631,277.36758,277.73474,277.68704,277.72205,277.44095,278.73285,277.07767,277.30502,277.2789,277.55188,277.2846,277.42886,277.41092,277.43015,277.22897,277.33743,277.22845,277.15317,277.17032,277.15198,277.1592,277.12817,277.3184,277.33325,277.35843,277.35938,277.01797,277.5024,277.44156,277.45264,277.63486,277.37717,277.05176,277.4408,277.3033,277.46,277.18588,277.55435,277.21884,277.29117,276.97946,277.7294,277.45364,277.30536,277.17096,277.33792,277.51062,277.33813,277.32812,277.49124,277.36917,277.56146,277.3436,277.61084,277.27386,277.51135,277.3079,276.55893,276.42392,276.69385,276.5753,276.74936,276.52472,276.1036,276.41953,276.57068,276.27505,276.39508,276.40323,277.32846,277.08914,277.4913,277.40695,277.75763,277.2496,277.53024,277.17276,277.11688,278.2018,278.58145,278.07584,277.9886,278.26193,278.28067,278.23672,278.07907,278.24106,277.91162,278.29083,277.91138,277.77332,277.5666,277.96036,277.93863,277.68655,277.69095,277.5895,277.4306,278.08502,277.44156,277.45364,277.17096,278.0818,276.2175,276.30423,278.0452,277.67798,278.00784,277.9447,277.889,277.6112,277.99878,279.92224,279.91736,279.74863,279.83865,279.97308,279.64447,279.66577,279.78537,279.7486,280.0848,279.88583,279.70715,279.97046,279.7517,279.92935,280.00082,279.92694,279.7297,279.95245,279.7368,279.99716,280.2052,279.8119,279.69046,279.71475,280.25687,280.2133,279.79254,279.84976,279.69388,280.09653,279.64584,279.94092,279.97726,280.04907,280.11914,279.65875,280.07016,280.30017,279.97772,279.86313,279.88052,279.9399,279.7405,280.0153,279.909,279.8136,280.0235,279.86908,279.7277,277.58447,277.3316,277.59344
